image_id,file,source_dataset,source_record,lead,segment_index,start_seconds,duration_seconds,sampling_frequency_hz,source_signal_url,license,clinical_use
ECG-0011,imagens_ecg/ecg_0011.png,MIT-BIH Arrhythmia Database v1.0.0,101,V1,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0012,imagens_ecg/ecg_0012.png,MIT-BIH Arrhythmia Database v1.0.0,101,MLII,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0013,imagens_ecg/ecg_0013.png,MIT-BIH Arrhythmia Database v1.0.0,101,V1,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0014,imagens_ecg/ecg_0014.png,MIT-BIH Arrhythmia Database v1.0.0,101,MLII,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0015,imagens_ecg/ecg_0015.png,MIT-BIH Arrhythmia Database v1.0.0,101,V1,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0016,imagens_ecg/ecg_0016.png,MIT-BIH Arrhythmia Database v1.0.0,101,MLII,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0017,imagens_ecg/ecg_0017.png,MIT-BIH Arrhythmia Database v1.0.0,101,V1,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0018,imagens_ecg/ecg_0018.png,MIT-BIH Arrhythmia Database v1.0.0,101,MLII,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0019,imagens_ecg/ecg_0019.png,MIT-BIH Arrhythmia Database v1.0.0,101,V1,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0020,imagens_ecg/ecg_0020.png,MIT-BIH Arrhythmia Database v1.0.0,101,MLII,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/101.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0021,imagens_ecg/ecg_0021.png,MIT-BIH Arrhythmia Database v1.0.0,102,V5,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0022,imagens_ecg/ecg_0022.png,MIT-BIH Arrhythmia Database v1.0.0,102,V2,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0023,imagens_ecg/ecg_0023.png,MIT-BIH Arrhythmia Database v1.0.0,102,V5,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0024,imagens_ecg/ecg_0024.png,MIT-BIH Arrhythmia Database v1.0.0,102,V2,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0025,imagens_ecg/ecg_0025.png,MIT-BIH Arrhythmia Database v1.0.0,102,V5,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0026,imagens_ecg/ecg_0026.png,MIT-BIH Arrhythmia Database v1.0.0,102,V2,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0027,imagens_ecg/ecg_0027.png,MIT-BIH Arrhythmia Database v1.0.0,102,V5,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0028,imagens_ecg/ecg_0028.png,MIT-BIH Arrhythmia Database v1.0.0,102,V2,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0029,imagens_ecg/ecg_0029.png,MIT-BIH Arrhythmia Database v1.0.0,102,V5,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0030,imagens_ecg/ecg_0030.png,MIT-BIH Arrhythmia Database v1.0.0,102,V2,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/102.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0031,imagens_ecg/ecg_0031.png,MIT-BIH Arrhythmia Database v1.0.0,103,V2,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0032,imagens_ecg/ecg_0032.png,MIT-BIH Arrhythmia Database v1.0.0,103,MLII,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0033,imagens_ecg/ecg_0033.png,MIT-BIH Arrhythmia Database v1.0.0,103,V2,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0034,imagens_ecg/ecg_0034.png,MIT-BIH Arrhythmia Database v1.0.0,103,MLII,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0035,imagens_ecg/ecg_0035.png,MIT-BIH Arrhythmia Database v1.0.0,103,V2,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0036,imagens_ecg/ecg_0036.png,MIT-BIH Arrhythmia Database v1.0.0,103,MLII,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0037,imagens_ecg/ecg_0037.png,MIT-BIH Arrhythmia Database v1.0.0,103,V2,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0038,imagens_ecg/ecg_0038.png,MIT-BIH Arrhythmia Database v1.0.0,103,MLII,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0039,imagens_ecg/ecg_0039.png,MIT-BIH Arrhythmia Database v1.0.0,103,V2,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0040,imagens_ecg/ecg_0040.png,MIT-BIH Arrhythmia Database v1.0.0,103,MLII,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/103.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0041,imagens_ecg/ecg_0041.png,MIT-BIH Arrhythmia Database v1.0.0,104,V5,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0042,imagens_ecg/ecg_0042.png,MIT-BIH Arrhythmia Database v1.0.0,104,V2,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0043,imagens_ecg/ecg_0043.png,MIT-BIH Arrhythmia Database v1.0.0,104,V5,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0044,imagens_ecg/ecg_0044.png,MIT-BIH Arrhythmia Database v1.0.0,104,V2,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0045,imagens_ecg/ecg_0045.png,MIT-BIH Arrhythmia Database v1.0.0,104,V5,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0046,imagens_ecg/ecg_0046.png,MIT-BIH Arrhythmia Database v1.0.0,104,V2,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0047,imagens_ecg/ecg_0047.png,MIT-BIH Arrhythmia Database v1.0.0,104,V5,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0048,imagens_ecg/ecg_0048.png,MIT-BIH Arrhythmia Database v1.0.0,104,V2,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0049,imagens_ecg/ecg_0049.png,MIT-BIH Arrhythmia Database v1.0.0,104,V5,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0050,imagens_ecg/ecg_0050.png,MIT-BIH Arrhythmia Database v1.0.0,104,V2,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/104.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0051,imagens_ecg/ecg_0051.png,MIT-BIH Arrhythmia Database v1.0.0,105,V1,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0052,imagens_ecg/ecg_0052.png,MIT-BIH Arrhythmia Database v1.0.0,105,MLII,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0053,imagens_ecg/ecg_0053.png,MIT-BIH Arrhythmia Database v1.0.0,105,V1,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0054,imagens_ecg/ecg_0054.png,MIT-BIH Arrhythmia Database v1.0.0,105,MLII,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0055,imagens_ecg/ecg_0055.png,MIT-BIH Arrhythmia Database v1.0.0,105,V1,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0056,imagens_ecg/ecg_0056.png,MIT-BIH Arrhythmia Database v1.0.0,105,MLII,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0057,imagens_ecg/ecg_0057.png,MIT-BIH Arrhythmia Database v1.0.0,105,V1,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0058,imagens_ecg/ecg_0058.png,MIT-BIH Arrhythmia Database v1.0.0,105,MLII,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0059,imagens_ecg/ecg_0059.png,MIT-BIH Arrhythmia Database v1.0.0,105,V1,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0060,imagens_ecg/ecg_0060.png,MIT-BIH Arrhythmia Database v1.0.0,105,MLII,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/105.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0061,imagens_ecg/ecg_0061.png,MIT-BIH Arrhythmia Database v1.0.0,106,MLII,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0062,imagens_ecg/ecg_0062.png,MIT-BIH Arrhythmia Database v1.0.0,106,V1,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0063,imagens_ecg/ecg_0063.png,MIT-BIH Arrhythmia Database v1.0.0,106,MLII,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0064,imagens_ecg/ecg_0064.png,MIT-BIH Arrhythmia Database v1.0.0,106,V1,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0065,imagens_ecg/ecg_0065.png,MIT-BIH Arrhythmia Database v1.0.0,106,MLII,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0066,imagens_ecg/ecg_0066.png,MIT-BIH Arrhythmia Database v1.0.0,106,V1,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0067,imagens_ecg/ecg_0067.png,MIT-BIH Arrhythmia Database v1.0.0,106,MLII,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0068,imagens_ecg/ecg_0068.png,MIT-BIH Arrhythmia Database v1.0.0,106,V1,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0069,imagens_ecg/ecg_0069.png,MIT-BIH Arrhythmia Database v1.0.0,106,MLII,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0070,imagens_ecg/ecg_0070.png,MIT-BIH Arrhythmia Database v1.0.0,106,V1,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/106.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0071,imagens_ecg/ecg_0071.png,MIT-BIH Arrhythmia Database v1.0.0,107,V1,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0072,imagens_ecg/ecg_0072.png,MIT-BIH Arrhythmia Database v1.0.0,107,MLII,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0073,imagens_ecg/ecg_0073.png,MIT-BIH Arrhythmia Database v1.0.0,107,V1,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0074,imagens_ecg/ecg_0074.png,MIT-BIH Arrhythmia Database v1.0.0,107,MLII,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0075,imagens_ecg/ecg_0075.png,MIT-BIH Arrhythmia Database v1.0.0,107,V1,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0076,imagens_ecg/ecg_0076.png,MIT-BIH Arrhythmia Database v1.0.0,107,MLII,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0077,imagens_ecg/ecg_0077.png,MIT-BIH Arrhythmia Database v1.0.0,107,V1,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0078,imagens_ecg/ecg_0078.png,MIT-BIH Arrhythmia Database v1.0.0,107,MLII,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0079,imagens_ecg/ecg_0079.png,MIT-BIH Arrhythmia Database v1.0.0,107,V1,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0080,imagens_ecg/ecg_0080.png,MIT-BIH Arrhythmia Database v1.0.0,107,MLII,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/107.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0081,imagens_ecg/ecg_0081.png,MIT-BIH Arrhythmia Database v1.0.0,108,MLII,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0082,imagens_ecg/ecg_0082.png,MIT-BIH Arrhythmia Database v1.0.0,108,V1,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0083,imagens_ecg/ecg_0083.png,MIT-BIH Arrhythmia Database v1.0.0,108,MLII,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0084,imagens_ecg/ecg_0084.png,MIT-BIH Arrhythmia Database v1.0.0,108,V1,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0085,imagens_ecg/ecg_0085.png,MIT-BIH Arrhythmia Database v1.0.0,108,MLII,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0086,imagens_ecg/ecg_0086.png,MIT-BIH Arrhythmia Database v1.0.0,108,V1,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0087,imagens_ecg/ecg_0087.png,MIT-BIH Arrhythmia Database v1.0.0,108,MLII,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0088,imagens_ecg/ecg_0088.png,MIT-BIH Arrhythmia Database v1.0.0,108,V1,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0089,imagens_ecg/ecg_0089.png,MIT-BIH Arrhythmia Database v1.0.0,108,MLII,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0090,imagens_ecg/ecg_0090.png,MIT-BIH Arrhythmia Database v1.0.0,108,V1,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/108.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0091,imagens_ecg/ecg_0091.png,MIT-BIH Arrhythmia Database v1.0.0,109,V1,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0092,imagens_ecg/ecg_0092.png,MIT-BIH Arrhythmia Database v1.0.0,109,MLII,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0093,imagens_ecg/ecg_0093.png,MIT-BIH Arrhythmia Database v1.0.0,109,V1,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0094,imagens_ecg/ecg_0094.png,MIT-BIH Arrhythmia Database v1.0.0,109,MLII,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0095,imagens_ecg/ecg_0095.png,MIT-BIH Arrhythmia Database v1.0.0,109,V1,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0096,imagens_ecg/ecg_0096.png,MIT-BIH Arrhythmia Database v1.0.0,109,MLII,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0097,imagens_ecg/ecg_0097.png,MIT-BIH Arrhythmia Database v1.0.0,109,V1,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0098,imagens_ecg/ecg_0098.png,MIT-BIH Arrhythmia Database v1.0.0,109,MLII,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0099,imagens_ecg/ecg_0099.png,MIT-BIH Arrhythmia Database v1.0.0,109,V1,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0100,imagens_ecg/ecg_0100.png,MIT-BIH Arrhythmia Database v1.0.0,109,MLII,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/109.dat,Open Data Commons Attribution License v1.0,educational_only
